Area,Age,Sex,Year,Value,Flags
Gore District,100 years and over,Male,2013,0,
Gore District,5-9 years,Male,2013,420,
Grey District,25-29 years,Male,2013,351,
Papakura Local Board Area,35-39 years,Female,2013,1521,
Waipa District,40-44 years,Male,2013,1548,
Timaru District,100 years and over,Male,2013,3,
Porirua City,95-99 years,Male,2013,9,
Waitakere Ranges Local Board Area,60-64 years,Male,2013,1194,
Maungakiekie-Tamaki Local Board Area,100 years and over,Male,2013,0,
Southland District,40-44 years,Male,2013,1167,
Kaipara District,80-84 years,Female,2013,210,
Canterbury Region,90-94 years,Female,2013,1974,
Rangitikei District,0-4 years,Male,2013,528,
Christchurch City,100 years and over,Male,2013,9,
Selwyn District,40-44 years,Female,2013,2040,
Upper Hutt City,75-79 years,Male,2013,465,
Waimate District,55-59 years,Male,2013,279,
Marlborough Region,85-89 years,Male,2013,279,
Upper Harbour Local Board Area,90-94 years,Male,2013,72,
Dunedin City,65-69 years,Female,2013,3066,
Kapiti Coast District,85-89 years,Female,2013,708,
South Wairarapa District,70-74 years,Female,2013,243,
Southland Region,50-54 years,Female,2013,3756,
Tararua District,0-4 years,Male,2013,582,
Clutha District,55-59 years,Male,2013,693,
Wanganui District,35-39 years,Male,2013,1032,
Great Barrier Local Board Area,40-44 years,Male,2013,30,
Marlborough Region,15-19 years,Female,2013,1200,
Waimate District,45-49 years,Male,2013,258,
Whakatane District,90-94 years,Male,2013,51,
Waiheke Local Board Area,20-24 years,Male,2013,195,
Waiheke Local Board Area,5-9 years,Male,2013,270,
Tararua District,70-74 years,Female,2013,363,
Mangere-Otahuhu Local Board Area,35-39 years,Female,2013,2397,
Otara-Papatoetoe Local Board Area,0-4 years,Female,2013,3411,
Tasman District,60-64 years,Female,2013,1899,
Franklin Local Board Area,10-14 years,Female,2013,2562,
Chatham Islands Territory,0-4 years,Female,2013,24,
Waimakariri District,20-24 years,Female,2013,1038,
Horowhenua District,40-44 years,Female,2013,951,
"Total, Territorial Authority areas",90-94 years,Female,2013,13452,
Manawatu District,40-44 years,Female,2013,996,
Waikato District,95-99 years,Female,2013,30,
Taupo District,85-89 years,Female,2013,222,
Dunedin City,5-9 years,Male,2013,3366,
Franklin Local Board Area,0-4 years,Female,2013,2178,
