Area,Age,Sex,Year,Value,Flags
Wairoa District,35-39 years,Female,2013,213,
Mangere-Otahuhu Local Board Area,45-49 years,Male,2013,2301,
Chatham Islands Territory,80-84 years,Female,2013,6,
Whau Local Board Area,10-14 years,Female,2013,2100,
Taranaki Region,60-64 years,Male,2013,3267,
Tasman Region,30-34 years,Female,2013,1272,
Kawerau District,45-49 years,Female,2013,192,
Thames-Coromandel District,90-94 years,Male,2013,51,
New Plymouth District,50-54 years,Male,2013,2622,
Waiheke Local Board Area,100 years and over,Male,2013,3,
Rangitikei District,60-64 years,Female,2013,435,
Great Barrier Local Board Area,35-39 years,Female,2013,33,
Wellington City,60-64 years,Female,2013,4518,
Great Barrier Local Board Area,60-64 years,Male,2013,81,
Mackenzie District,55-59 years,Male,2013,225,
Christchurch City,50-54 years,Female,2013,12762,
Taranaki Region,20-24 years,Male,2013,3129,
Timaru District,65-69 years,Female,2013,1365,
Southland District,100 years and over,Female,2013,0,
Waitomo District,20-24 years,Female,2013,294,
Marlborough District,0-4 years,Female,2013,1368,
Puketapapa Local Board Area,45-49 years,Female,2013,1935,
Orakei Local Board Area,55-59 years,Male,2013,2424,
Otago Region,10-14 years,Male,2013,6174,
South Waikato District,40-44 years,Female,2013,795,
Selwyn District,35-39 years,Female,2013,1608,
Lower Hutt City,10-14 years,Female,2013,3333,
Kaikoura District,80-84 years,Male,2013,42,
Waitaki District,55-59 years,Female,2013,813,
Waitemata Local Board Area,65-69 years,Male,2013,1401,
Hibiscus and Bays Local Board Area,5-9 years,Female,2013,2886,
Southland District,5-9 years,Female,2013,1089,
Tararua District,5-9 years,Male,2013,645,
Manurewa Local Board Area,0-4 years,Male,2013,4059,
Rotorua District,90-94 years,Female,2013,171,
Bay of Plenty Region,10-14 years,Female,2013,9600,
Matamata-Piako District,95-99 years,Male,2013,15,
Tauranga City,55-59 years,Male,2013,3222,
Gore District,10-14 years,Male,2013,453,
Thames-Coromandel District,100 years and over,Male,2013,3,
Wanganui District,30-34 years,Male,2013,987,
Tasman District,70-74 years,Male,2013,1176,
Western Bay of Plenty District,75-79 years,Male,2013,786,
Hastings District,40-44 years,Male,2013,2490,
Bay of Plenty Region,50-54 years,Male,2013,9192,
South Taranaki District,50-54 years,Female,2013,930,
Central Hawke's Bay District,70-74 years,Male,2013,279,
Wanganui District,100 years and over,Male,2013,3,
Wairoa District,30-34 years,Female,2013,219,
Nelson City,25-29 years,Male,2013,1242,
Tasman Region,50-54 years,Male,2013,1869,
Waipa District,25-29 years,Male,2013,1098,
Devonport-Takapuna Local Board Area,15-19 years,Female,2013,1941,
Hamilton City,75-79 years,Male,2013,1248,
Nelson City,25-29 years,Female,2013,1368,
Otorohanga District,100 years and over,Male,2013,0,
Mackenzie District,55-59 years,Female,2013,222,
Upper Hutt City,95-99 years,Male,2013,9,
Hibiscus and Bays Local Board Area,75-79 years,Female,2013,1593,
Invercargill City,75-79 years,Male,2013,708,
Waitemata Local Board Area,70-74 years,Female,2013,762,
Hastings District,40-44 years,Female,2013,2829,
Waimate District,40-44 years,Female,2013,249,
Albert-Eden Local Board Area,40-44 years,Male,2013,3630,
Papakura Local Board Area,90-94 years,Male,2013,48,
Auckland,65-69 years,Male,2013,27291,
Howick Local Board Area,100 years and over,Female,2013,6,
Grey District,15-19 years,Female,2013,402,
Western Bay of Plenty District,5-9 years,Male,2013,1461,
Kawerau District,60-64 years,Male,2013,186,
Waitaki District,80-84 years,Male,2013,285,
Auckland,45-49 years,Female,2013,54000,
Maungakiekie-Tamaki Local Board Area,25-29 years,Male,2013,2733,
"Total, Territorial Authority areas",100 years and over,Female,2013,462,
Waitemata Local Board Area,40-44 years,Female,2013,2835,
Area Outside Region,25-29 years,Male,2013,24,
Devonport-Takapuna Local Board Area,85-89 years,Female,2013,543,
Canterbury Region,100 years and over,Female,2013,63,
Manawatu District,60-64 years,Male,2013,879,
Waimakariri District,30-34 years,Male,2013,945,
Carterton District,25-29 years,Female,2013,147,
Rodney Local Board Area,50-54 years,Male,2013,2190,
Auckland,0-4 years,Male,2013,52707,
Rotorua District,10-14 years,Female,2013,2535,
Waipa District,20-24 years,Female,2013,1227,
Kaikoura District,10-14 years,Male,2013,105,
Rotorua District,80-84 years,Female,2013,666,
Kaikoura District,90-94 years,Male,2013,3,
Lower Hutt City,50-54 years,Male,2013,3429,
Opotiki District,25-29 years,Male,2013,174,
Wellington Region,0-4 years,Male,2013,15969,
Whau Local Board Area,95-99 years,Female,2013,42,
Great Barrier Local Board Area,35-39 years,Male,2013,30,
Opotiki District,90-94 years,Female,2013,15,
Clutha District,65-69 years,Male,2013,483,
Tararua District,10-14 years,Male,2013,597,
Nelson City,20-24 years,Female,2013,1305,
Carterton District,30-34 years,Female,2013,207,
Puketapapa Local Board Area,50-54 years,Female,2013,1953,
Waitaki District,5-9 years,Male,2013,624,
Kawerau District,25-29 years,Female,2013,171,
Western Bay of Plenty District,80-84 years,Male,2013,501,
South Taranaki District,45-49 years,Female,2013,900,
Manawatu District,65-69 years,Male,2013,696,
Manurewa Local Board Area,50-54 years,Female,2013,2655,
Area Outside Region,100 years and over,Male,2013,0,
Hibiscus and Bays Local Board Area,80-84 years,Female,2013,1245,
Hibiscus and Bays Local Board Area,0-4 years,Female,2013,2535,
Carterton District,100 years and over,Female,2013,3,
Auckland Region,80-84 years,Female,2013,11805,
Waipa District,25-29 years,Female,2013,1164,
Auckland Region,95-99 years,Male,2013,297,
Great Barrier Local Board Area,30-34 years,Male,2013,18,
Otago Region,5-9 years,Male,2013,5982,
Auckland,50-54 years,Female,2013,50313,
Howick Local Board Area,70-74 years,Male,2013,1926,
Kapiti Coast District,20-24 years,Female,2013,948,
Lower Hutt City,45-49 years,Male,2013,3363,
West Coast Region,40-44 years,Female,2013,1284,
Kapiti Coast District,100 years and over,Female,2013,12,
Masterton District,65-69 years,Male,2013,627,
Waitaki District,75-79 years,Male,2013,402,
Kaikoura District,85-89 years,Male,2013,27,
Marlborough Region,5-9 years,Male,2013,1350,
Waitemata Local Board Area,60-64 years,Male,2013,1932,
Kaipara District,95-99 years,Male,2013,6,
Southland District,10-14 years,Female,2013,990,
Opotiki District,95-99 years,Female,2013,9,
New Plymouth District,95-99 years,Female,2013,78,
Hibiscus and Bays Local Board Area,10-14 years,Female,2013,3033,
Wellington Region,5-9 years,Male,2013,15525,
Kapiti Coast District,5-9 years,Female,2013,1596,
Wellington Region,75-79 years,Male,2013,4956,
Rotorua District,85-89 years,Female,2013,447,
Clutha District,70-74 years,Male,2013,330,
Rodney Local Board Area,55-59 years,Male,2013,1839,
Whau Local Board Area,50-54 years,Male,2013,2244,
Auckland,75-79 years,Male,2013,13116,
Porirua City,70-74 years,Female,2013,759,
Bay of Plenty Region,55-59 years,Male,2013,8403,
South Taranaki District,0-4 years,Male,2013,1050,
Central Hawke's Bay District,65-69 years,Male,2013,438,
Tararua District,55-59 years,Female,2013,600,
Tasman Region,55-59 years,Male,2013,1905,
Hamilton City,45-49 years,Female,2013,4674,
Otara-Papatoetoe Local Board Area,30-34 years,Male,2013,2523,
Mackenzie District,50-54 years,Female,2013,195,
Whau Local Board Area,90-94 years,Female,2013,234,
Far North District,40-44 years,Female,2013,1890,
Hawke's Bay Region,40-44 years,Female,2013,5619,
Matamata-Piako District,90-94 years,Male,2013,51,
Wellington Region,65-69 years,Female,2013,10815,
Palmerston North City,35-39 years,Male,2013,2265,
Taranaki Region,20-24 years,Female,2013,2964,
Mangere-Otahuhu Local Board Area,60-64 years,Male,2013,1467,
Gore District,15-19 years,Male,2013,417,
"Total, Territorial Authority areas",10-14 years,Female,2013,140856,
South Taranaki District,55-59 years,Female,2013,834,
Devonport-Takapuna Local Board Area,90-94 years,Female,2013,303,
Hurunui District,30-34 years,Female,2013,324,
Western Bay of Plenty District,55-59 years,Female,2013,1707,
South Taranaki District,65-69 years,Male,2013,618,
Devonport-Takapuna Local Board Area,85-89 years,Male,2013,306,
Gore District,85-89 years,Male,2013,84,
Manawatu District,25-29 years,Female,2013,681,
Otorohanga District,70-74 years,Female,2013,150,
Horowhenua District,55-59 years,Male,2013,936,
Orakei Local Board Area,45-49 years,Male,2013,2880,
South Waikato District,70-74 years,Male,2013,471,
Manurewa Local Board Area,10-14 years,Male,2013,3453,
Hurunui District,35-39 years,Female,2013,378,
Marlborough Region,70-74 years,Female,2013,1182,
Waitaki District,85-89 years,Male,2013,165,
Waitaki District,45-49 years,Female,2013,810,
Taupo District,75-79 years,Female,2013,510,
Auckland,80-84 years,Male,2013,9015,
Taupo District,5-9 years,Female,2013,1221,
Area Outside Region,5-9 years,Male,2013,30,
Chatham Islands Territory,85-89 years,Female,2013,0,
Porirua City,10-14 years,Male,2013,1971,
Manawatu-Wanganui Region,25-29 years,Male,2013,6021,
Canterbury Region,0-4 years,Female,2013,16503,
Manurewa Local Board Area,80-84 years,Male,2013,354,
Albert-Eden Local Board Area,75-79 years,Female,2013,813,
Waipa District,100 years and over,Female,2013,9,
Marlborough Region,60-64 years,Female,2013,1755,
Manawatu District,35-39 years,Female,2013,849,
South Wairarapa District,15-19 years,Male,2013,240,
Maungakiekie-Tamaki Local Board Area,20-24 years,Male,2013,2529,
Ashburton District,40-44 years,Male,2013,1119,
Matamata-Piako District,15-19 years,Male,2013,1086,
Gisborne District,75-79 years,Female,2013,585,
Kaipara District,0-4 years,Female,2013,546,
Taranaki Region,40-44 years,Male,2013,3753,
Kaipara District,15-19 years,Male,2013,576,
Gore District,90-94 years,Male,2013,24,
Waikato District,5-9 years,Female,2013,2673,
Queenstown-Lakes District,30-34 years,Male,2013,1740,
Mackenzie District,85-89 years,Male,2013,18,
Waitomo District,25-29 years,Female,2013,273,
New Plymouth District,55-59 years,Male,2013,2397,
West Coast Region,55-59 years,Male,2013,1449,
Taranaki Region,25-29 years,Female,2013,3168,
Timaru District,70-74 years,Female,2013,1164,
Papakura Local Board Area,50-54 years,Male,2013,1371,
Northland Region,20-24 years,Female,2013,3768,
Tararua District,15-19 years,Male,2013,495,
Area outside territorial authority,15-19 years,Male,2013,0,
Clutha District,30-34 years,Female,2013,429,
Mangere-Otahuhu Local Board Area,20-24 years,Female,2013,3183,
Northland Region,100 years and over,Female,2013,18,
Invercargill City,45-49 years,Female,2013,1866,
Far North District,65-69 years,Male,2013,2076,
South Taranaki District,80-84 years,Male,2013,231,
Wellington City,90-94 years,Male,2013,180,
Waikato District,15-19 years,Female,2013,2013,
Kawerau District,30-34 years,Female,2013,177,
Western Bay of Plenty District,85-89 years,Male,2013,210,
Hawke's Bay Region,70-74 years,Male,2013,2979,
West Coast Region,70-74 years,Male,2013,843,
Wellington Region,60-64 years,Female,2013,12822,
Western Bay of Plenty District,45-49 years,Female,2013,1716,
Napier City,20-24 years,Male,2013,1575,
Waikato District,100 years and over,Female,2013,6,
Whangarei District,20-24 years,Female,2013,1974,
Selwyn District,60-64 years,Male,2013,1278,
Marlborough District,10-14 years,Female,2013,1242,
Stratford District,80-84 years,Female,2013,123,
Thames-Coromandel District,5-9 years,Male,2013,741,
Area Outside Region,65-69 years,Female,2013,6,
"Total, Territorial Authority areas",5-9 years,Female,2013,141156,
Wanganui District,25-29 years,Male,2013,975,
Bay of Plenty Region,15-19 years,Female,2013,8547,
Hurunui District,60-64 years,Male,2013,483,
Timaru District,25-29 years,Male,2013,1026,
Marlborough District,80-84 years,Female,2013,630,
Puketapapa Local Board Area,75-79 years,Male,2013,507,
Otorohanga District,10-14 years,Male,2013,318,
Kaipatiki Local Board Area,25-29 years,Female,2013,3303,
Nelson City,30-34 years,Female,2013,1359,
Thames-Coromandel District,65-69 years,Female,2013,1428,
Mangere-Otahuhu Local Board Area,30-34 years,Female,2013,2559,
Otago Region,90-94 years,Male,2013,321,
Kaikoura District,50-54 years,Female,2013,186,
Marlborough Region,0-4 years,Male,2013,1338,
Christchurch City,80-84 years,Female,2013,4485,
Bay of Plenty Region,95-99 years,Female,2013,243,
Clutha District,40-44 years,Female,2013,639,
Lower Hutt City,90-94 years,Female,2013,264,
Hastings District,35-39 years,Male,2013,2247,
Tararua District,85-89 years,Male,2013,81,
Hibiscus and Bays Local Board Area,65-69 years,Female,2013,2637,
Hauraki District,90-94 years,Male,2013,33,
Henderson-Massey Local Board Area,25-29 years,Male,2013,3609,
Rotorua District,10-14 years,Male,2013,2817,
Ruapehu District,55-59 years,Male,2013,483,
Hastings District,30-34 years,Male,2013,2091,
Wellington City,15-19 years,Male,2013,7152,
Gisborne Region,20-24 years,Male,2013,1239,
Clutha District,35-39 years,Female,2013,531,
Stratford District,85-89 years,Female,2013,81,
Marlborough District,5-9 years,Female,2013,1206,
South Taranaki District,75-79 years,Male,2013,339,
Wellington City,95-99 years,Male,2013,27,
Selwyn District,65-69 years,Male,2013,1062,
Waikato District,10-14 years,Female,2013,2526,
Queenstown-Lakes District,25-29 years,Male,2013,1899,
Waitemata Local Board Area,35-39 years,Female,2013,3195,
Western Bay of Plenty District,50-54 years,Female,2013,1791,
Whangarei District,40-44 years,Male,2013,2418,
Otara-Papatoetoe Local Board Area,35-39 years,Male,2013,2307,
Thames-Coromandel District,0-4 years,Male,2013,717,
Southland District,0-4 years,Female,2013,1071,
Nelson City,35-39 years,Female,2013,1566,
Area outside territorial authority,90-94 years,Male,2013,0,
Wellington City,0-4 years,Female,2013,5694,
Area Outside Region,70-74 years,Female,2013,12,
Otago Region,85-89 years,Male,2013,1077,
Clutha District,60-64 years,Male,2013,594,
Puketapapa Local Board Area,0-4 years,Male,2013,1824,
Hurunui District,65-69 years,Male,2013,432,
Puketapapa Local Board Area,80-84 years,Male,2013,342,
Marlborough District,75-79 years,Female,2013,801,
Thames-Coromandel District,70-74 years,Female,2013,1035,
Devonport-Takapuna Local Board Area,95-99 years,Female,2013,84,
Waitaki District,90-94 years,Male,2013,42,
Nelson Region,40-44 years,Male,2013,1662,
Porirua City,15-19 years,Male,2013,1935,
Timaru District,20-24 years,Male,2013,1083,
Albert-Eden Local Board Area,80-84 years,Female,2013,669,
Stratford District,75-79 years,Female,2013,156,
Tararua District,80-84 years,Male,2013,174,
Area outside territorial authority,10-14 years,Male,2013,3,
Mangere-Otahuhu Local Board Area,25-29 years,Female,2013,2781,
Central Hawke's Bay District,40-44 years,Female,2013,453,
Albert-Eden Local Board Area,0-4 years,Female,2013,2865,
Porirua City,100 years and over,Male,2013,0,
Matamata-Piako District,10-14 years,Male,2013,1137,
Manurewa Local Board Area,5-9 years,Male,2013,3756,
Porirua City,85-89 years,Male,2013,123,
Manawatu District,30-34 years,Female,2013,708,
Rotorua District,5-9 years,Female,2013,2475,
Otago Region,15-19 years,Male,2013,8745,
Mackenzie District,80-84 years,Male,2013,48,
Canterbury Region,5-9 years,Female,2013,16371,
Wanganui District,20-24 years,Male,2013,1143,
Orakei Local Board Area,50-54 years,Male,2013,2676,
Waitaki District,50-54 years,Female,2013,861,
Ashburton District,35-39 years,Male,2013,948,
Taupo District,0-4 years,Female,2013,1173,
Chatham Islands Territory,90-94 years,Female,2013,0,
Manawatu-Wanganui Region,100 years and over,Male,2013,9,
Hauraki District,55-59 years,Male,2013,606,
Lower Hutt City,15-19 years,Female,2013,3249,
Palmerston North City,40-44 years,Male,2013,2451,
Kaikoura District,55-59 years,Female,2013,204,
Wairoa District,60-64 years,Male,2013,261,
Manawatu-Wanganui Region,30-34 years,Male,2013,5577,
Porirua City,5-9 years,Male,2013,2055,
Dunedin City,60-64 years,Female,2013,3738,
Waitomo District,30-34 years,Female,2013,252,
Far North District,70-74 years,Male,2013,1590,
Nelson City,60-64 years,Male,2013,1455,
Papakura Local Board Area,55-59 years,Male,2013,1128,
Hibiscus and Bays Local Board Area,85-89 years,Female,2013,822,
Marlborough Region,65-69 years,Female,2013,1602,
Manurewa Local Board Area,75-79 years,Male,2013,528,
South Taranaki District,85-89 years,Male,2013,117,
Auckland Region,75-79 years,Female,2013,15300,
Thames-Coromandel District,10-14 years,Male,2013,873,
Bay of Plenty Region,45-49 years,Male,2013,8661,
Queenstown-Lakes District,35-39 years,Male,2013,1536,
Whakatane District,75-79 years,Male,2013,432,
Hauraki District,75-79 years,Female,2013,378,
Waiheke Local Board Area,50-54 years,Female,2013,351,
Selwyn District,100 years and over,Male,2013,0,
Gisborne District,40-44 years,Male,2013,1332,
Waimakariri District,25-29 years,Female,2013,933,
Queenstown-Lakes District,60-64 years,Male,2013,1275,
Albert-Eden Local Board Area,30-34 years,Male,2013,3750,
